,Aircraft,Cabin Staff Service,Comment,Date Flown,Food & Beverages,Ground Service,Inflight Entertainment,Rate,Recommended,Route,Seat Comfort,Seat Type,Type Of Traveller,Value For Money,Wifi & Connectivity
10,,1.0,"✅ Trip Verified |  Boston to Nairobi via London. The only good thing was the new and clean looking plane for the first leg of the trip from Boston to Heathrow. The cabin crew service was below standard. I had a window seat and twice I was passed up and not offered anything to eat/drink while everyone around me was, simply because I was watching a movie. I  noticed that if you didn't have eye contact with the attendant you were not offered anything. Airplane food is not exactly gourmet but BA food was so bland even the little I ate was only because I was hungry. The connecting flight from Heathrow to Nairobi was  worse because the plane was the  opposite of the one from Boston to Heathrow. It looked beat up and lacked even the basics like a USB port. Cabin crew service on this leg was  below standard. I'm probably to blame because I overrated BA before flying with them but now I know better. ",October 2018,1.0,3.0,0.0,11.0,no,Boston to Nairobi via London,3.0,Economy Class,Solo Leisure,3.0,0.0
11,Boeing 747,3.0,"✅ Trip Verified |  Basel to San Fransisco via Heathrow. I'm convinced the quality has dropped considerably in the past several years. I booked World Traveller Plus or Premium Economy which costs appr. twice as much as economy. The flight to SFO was ok seat wise as the plane was an A380 and I has reserved an aisle seat. The food was disgusting for me, during the flight we were given a box with several pieces of junk food and shortly before landing given a piece of pizza. The choice of food leaves a lot to be desired. There were cold drinks offered regularly and you can go to the bulkhead to get extra if needed. We were offered maybe two hot drinks during the 12 hours on the plane (longer due to a delay leaving the UK). The flight back to the UK was worse since it was a Boeing 747 with the older bulkier seats. You couldn't even get to the remote control hidden in the inside of the seat and I'm not big. The recliner didn't work properly and the general space around the seat is cramped as the person next to me spilled over to my seat. I feel sorry for larger people. The food was just as bland and poor and barely any warm drinks. The staff seem challenged with certain situations. Next time I'm off to the US I will look for an alternative airline.",November 2018,2.0,5.0,3.0,17.0,no,Basel to San Fransisco via Heathrow,2.0,Premium Economy,Solo Leisure,2.0,0.0
12,,1.0,✅ Trip Verified |  London to Lyon. The flight has 1h 30 delay for a flight duration of 1:30. Ground staff forced me to check-in my suitcase during boarding process due to lack of space in the plane and I got my suitcase damaged with 2 big cuts on the back. Then the customer service has been very useless. Such a very bad experience. I do not recommend flying with them.,November 2018,0.0,1.0,0.0,5.0,no,London to Lyon,2.0,Economy Class,Solo Leisure,1.0,0.0
13,,5.0,✅ Trip Verified |  London to Boston. I was seated next to a customer who was needed an extra seat. The flight attendant was extremely nice and helpful and ensured I was comfortable throughout the flight. Superb Customer Service.,November 2018,4.0,4.0,4.0,26.0,yes,London to Boston,3.0,Economy Class,Business,5.0,1.0
14,A320,5.0,✅ Trip Verified | Stockholm to London. Standard configuration on short haul European flights. Business class still 3 seats each side of the isle. Middle seat fitted with a tray. Had a wonderful crew with 2 super professional stewards in business. Drinks served with a smile and the food also. Food reminding of what was served in economy 10 years ago when there still was free there. The best part of the meal was the cheese and pudding.,November 2018,2.0,1.0,0.0,14.0,yes,Stockholm to London,3.0,Business Class,Solo Leisure,3.0,0.0
15,,4.0,"✅ Trip Verified |  Amsterdam to London arrived 33 minutes late - three delays, taking off, landing, and getting the walkway to the airplane. This has happened twice this year. I fly KLM 90% of the time on this route and am delayed very rarely. I fly British on this route  when it is significantly cheaper but am delayed. I’m sure it’s bad luck but if you do better than double the flight time you are having a good day. ",November 2018,0.0,1.0,0.0,12.0,no,Amsterdam to London,4.0,Economy Class,Business,3.0,0.0
16,Boeing 777-200,2.0,"✅ Trip Verified |  Buenos Aires to London. We flew overnight Friday 9th November. The plane seating is worn out and uncomfortable, there were large numbers or Argentinian passengers on the plane yet I saw no staff that spoke Spanish. The chicken dinner was described as Curry but there was no sauce on it. The bread roll was stale and dessert stodgy, During the night no water was offered to me. It was not possible to charge electronic equipment, the seatback screens were small with a limited choice of entertainment.",November 2018,1.0,1.0,1.0,7.0,no,Buenos Aires to London,1.0,Economy Class,Couple Leisure,1.0,0.0
17,Boeing 777,2.0,"✅ Trip Verified |  Business Class space is ridiculously narrow. Service is very careless. You are not allowed laptops on the flight from Riyadh, so you cannot work if you want to. You cannot choose when to eat.",November 2018,2.0,3.0,3.0,12.0,no,Riyadh to London,1.0,Business Class,Business,1.0,0.0
18,A319,0.0,"✅ Trip Verified |  Aberdeen to Heathrow to connect to a flight in Gatwick the day after. During check-in using the BA app, there was a problem that I had to re-start, after that when I opened noted that the boarding pass was issued not allowing me to add a bag in the hold. After calling BA and explaining the situation was told that the option was to pay £65 at the airport desk. What a rip off for a short flight. By curiosity I checked with Easyjet and if I had booked with them for the same day would had cost me the same to fly as the money BA asked for the bag.",November 2018,0.0,1.0,0.0,2.0,no,Aberdeen to London,0.0,Economy Class,Solo Leisure,1.0,0.0
19,,1.0,"✅ Trip Verified | I would not recommend this airline. I travel a lot for work and get to fly different airlines so have a good base to compare it to. Baggage Allowance: Only give you 23kgs of checked baggage and if you are 1 kg over (regardless if your other bags with your other travel companions are under) you have to pay $170AUD extra. This is the strictest airline I have ever used. All other airlines have allowed up to 5kgs over at no charge. Ensure you have pre-weighed all bags. In-flight meal: On the way to Sydney, they served soggy squashed sandwiches as a meal. It is an 8 hour flight! Make sure you pack your own snacks/meal. You don't get a bottle of water and they rarely serve drinks. Make sure you pre-pack a bottle or two once you are through customs. Customer service: From the get go the customer service was appalling. It is hard enough traveling with kids, but having to deal with BA was stressful. They wouldn't allow me to swap my ticket with my husband as we were traveling with my kids and I had a slight delay which meant I couldn't go on the same flight. At the airport, they couldn't find my children's booking which caused further delay and stress. How do you misplace 4 kids on the same booking? They then put my husband in a seat not with all of us and wouldn't do anything to help change this. We had to ask the person next to my kids once on the plane on our own. Don't bother flying BA.",November 2018,1.0,1.0,1.0,7.0,no,Singapore to Sydney,1.0,Economy Class,Family Leisure,1.0,1.0
20,A320,1.0,"✅ Trip Verified |  New York to Budapest via London. The second flight was a bit different. The plane was clean, but cold. I wanted to drink water, but the cabin crew does not accepted my request. By mistake the captain welcomed the passengers to Bucharest and not Budapest.",November 2018,0.0,5.0,0.0,16.0,no,London to Budapest,5.0,Economy Class,Family Leisure,5.0,0.0
21,A321,3.0,"✅ Trip Verified |  Heathrow to Athens on A321. Arrived at the airport in time and bag drop was an ease. Got to the gate within 30mins of bag drop with light security queues. On the aircraft, there was sufficient seat legroom for my seat 7F.  A funny safety video played and the flight was smooth. No food was served, except some M&S, BBC news was playing on the screens, with no sound and Russian captions, quite confusing. The plane landed half an hour late, but it was the best landing I have ever experienced.",October 2018,2.0,3.0,2.0,18.0,yes,London to Athens,4.0,Economy Class,Solo Leisure,3.0,1.0
22,Boeing 777-200,3.0,"✅ Trip Verified | London to Bangkok. I am not a fan if the BA configuration in Business. However I did have seat 2J so it was right up front. I am not sure where to begin. Food awful, I ordered beef (a showcase of British beef the notes said) that was inedible I left most of it. Instead of asking was something wrong or would I like another meal option, the FA took the tray away and asked if I wanted dessert. Wine 2 reds 2 whites and 2 champagnes - hardly a stellar wine list. Entertainment small screen with dreadful resolution and a very limited ordinary range of options. Staff challenged at best, clearly some had not been in business before. Disengaged and disinterested. The cabin was over hill for me. The toilet was not checked very often, a sweet wrapper remained on the toilet floor the entire trip as did an overflowing rubbish bin. I would expect much better up the front of the plane we pay a premium to be there and the service and overall product do not match expectations. ",October 2018,2.0,3.0,1.0,15.0,no,London to Bangkok,3.0,Business Class,Solo Leisure,2.0,1.0
23,A340-300,1.0,"✅ Trip Verified |  Abu Dhabi to London. Although a BA flight, this sector was operated by Air Belgium and offered a really poor experience. Aircraft felt old and tired, cabin crew were totally indifferent, cabin temperature was too hot and stuffy and food totally inedible. A really awful flight and worth looking at alternatives if you need to fly this route in the near future.",October 2018,1.0,3.0,1.0,12.0,no,Abu Dhabi to London,2.0,Economy Class,Solo Leisure,3.0,1.0
24,Boeing 777,2.0,"✅ Trip Verified |  Gatwick to Orlando. Stains on the seat, cotton buds in the seat well. Disgusting and had to force them to clean. No entertainment on board, it was not functional. Internet available at three times Emirates price and twice AA flight and speed that won’t achieve streaming. When I complained to BA they told me I couldn’t communicate with the CEO but I could connect with their customer relations. I have been Gold on BA for thirty years and it’s time to ditch this 
non responsive airline.",October 2018,3.0,2.0,1.0,11.0,no,Gatwick to Orlando,1.0,Business Class,Business,1.0,1.0
25,A319 / Boeing 747,4.0,"✅ Trip Verified | Newcastle to Las Vegas via London. Both my flights were great, on time and the food was good on the flight to London, and a nice bottle of champagne as well. My long haul flight was also good, aircraft was 20yrs old but clean, cabin crew were very nice, friendly and efficient, my pre ordered meal was absolutely fantastic, the only complaint I can have is the in flight entertainment needs to be improved, ie, try showing some classic British comedy programmes instead of the unfunny modern stuff, and also include some good classic rock music that people have actually heard of, apart from that, absolutely great, well recommended.",October 2018,4.0,4.0,3.0,24.0,yes,Newcastle to Las Vegas via London,4.0,Business Class,Solo Leisure,5.0,0.0
26,A320,5.0,"✅ Trip Verified |  While it is still fresh in my mind, I’d like to commend the hard working crew of my BA flight from St.Petersburg to London Heathrow on 23rd October 2018. The check-in staff were very professional and helpful and assisted me with a query. Boarding was operated remarkably efficiently and in a precise and orderly manner. The cabin crew were welcoming and very professional in their appearance and demeanor too. The cabin was spotlessly clean and the flight departed on time and arrived slightly early. The captain was informative. My only gripe was the lack of a route map on this flight and the M&S buy on board option was a bit tedious. Disembarkation was equally well managed and passengers were fare welled in a courteous and sincere way. This flight has restored my faith in BA. Well done to the superb crew!",October 2018,3.0,5.0,0.0,21.0,yes,St Petersburg to London,5.0,Economy Class,Solo Leisure,3.0,0.0
27,Boeing 787-9,1.0,"✅ Trip Verified |  London to Philadelphia. I upgraded from coach to business for almost $900 because I  wanted to experience BA’s business class in the Boeing 787, but I was disappointed. While the aircraft was new, the staff really could have cared less about the business guests. 2-3-2 in business with some seats facing the cockpit and others the tail. BA lost me as a traveler because the crew although polite, service wise was lacking. Pre-flight they offer you a beverage, I asked for rose champagne and I was told “I guess I have to go find a bottle and open one”. In my previous business class experiences there are beverages served every 2 hours, not on this almost 8 hour flight. I was served my main meal almost 2.5 hours after takeoff. You get one full hot meal and a snack one hour and a half before landing. You also get an initial beverage and then the next time a beverage is offered is 1.5 hours before landing. If you ask for anything else to drink in between you have to go into the galley. Yes they have the menu, linen, silverware and glass but you feel like they just have to do this for you and not like they want to do this for you. Because of the extra seat they cram into business now they are all very narrow and really uncomfortable. There was virtually no storage other than a small laptop droor and that’s it. I have to say the entertainment options were very good and there was no Wi-Fi on this flight. You get a pillow, duvet and blanket and a decent amenity kit. BA has the new planes, and decent business amenities however they lost me in the service. I will not pay to upgrade to business on BA and will avoid flying with them if I have another option. They need to improve when it comes to inflight experiences and treatment specially for their business class travelers.",October 2018,2.0,2.0,3.0,10.0,no,London to Philadelphia,1.0,Business Class,Business,1.0,0.0
28,Boeing 777-200,5.0,✅ Trip Verified | Madrid to London. Good improvement. This BA club Europe flight was on a B777 so seats were flat beds. BA have updated their menus so instead of serving a sandwich they offered a full meal service. Three choices of main and food was good quality. Good BA listened to feedback. They were as always let down by their Iberia partners in that their Madrid business lounge was abysmal as usual. With no toilets available and the lone tortilla as the unique culinary offering along with dirty tables,October 2018,4.0,4.0,0.0,21.0,yes,Madrid to London,4.0,Business Class,Business,4.0,0.0
29,A321,3.0,"✅ Trip Verified |  London to Munich. The ground staff were very friendly and the plane was clean. Once boarding was completed we were informed that due to issues with the tower the flight would be delayed by 40 minutes. They hadn't finished loading the baggage and this was clear from the view out of the window, where you could see bags still arriving and being loaded after our scheduled departure. Aircrew were functional but this must have been the last flight of the day and you noticed it. Flight was uneventful they had the flight tracking screen down for 30 minutes before they retracted. Other than being lied to as to the reason for the delay the flight offered the minimum required.",October 2018,0.0,3.0,0.0,11.0,yes,London to Munich,2.0,Economy Class,Family Leisure,3.0,0.0
30,Boeing 747-400,1.0,"✅ Trip Verified |  London to Cape Town.  Waiting at gate, the staff announced flight will be delayed because cabin temperature is too high. Air conditioning problem on board. She said all doors of aircraft have been opened, lights dimmed or switched off to decrease temperature, boarding will start as soon as possible. Finally one hour after take off temperature became acceptable. ",October 2018,2.0,1.0,0.0,7.0,no,London to Cape Town,2.0,Economy Class,Couple Leisure,1.0,0.0
31,A321,4.0,"✅ Trip Verified | Full flight from MUC to LHR with British Airways. On the plus side the ground and cabin crew are very friendly, so is the baggage allowance, plane although not new was clean. You have to pay for your food and beverages on board short haul flights. The departure was delayed by 45 minutes and a further delay on arrival for a total of 55 minutes later than expected. We also parked at a gate at the very far end of T5. The plus side of all the walking was that the luggage was there waiting for us. Service as expected for the price and that would be the reason for choosing them again. When traveling with an infant the delays tend to compound matters.",October 2018,0.0,5.0,0.0,14.0,yes,Munich to London Heathrow,2.0,Economy Class,Family Leisure,3.0,0.0
32,A319 / Boeing 747-400,5.0,"✅ Trip Verified |  Manchester to Philadelphia via London. MAN-LHR I am not tall so the Club Europe seating is fine for me on a short flight. Addressed by name - adequate breakfast of bacon roll, fruit and yoghurt. Concorde Room not crowded and no wait for showers. LHR-PHL on aged 747 but still my favorite - cabin/washrooms in very good shape though. I have no problem with the BA F layout unlike so many posters here. Excellent flight - experienced crew and though full cabin, all very smooth and professional. Beautifully prepared and presented lamb shank, good wines as always - nice to see a good British bubbly included. Only downside was deplaning in PHL where F passengers had to fight their way off through the J scrum - could have been controlled by crew, but was not.",October 2018,4.0,5.0,4.0,28.0,yes,Manchester to Philadelphia via London,5.0,First Class,Solo Leisure,5.0,0.0
33,Boieng 777-200,2.0,✅ Trip Verified |  Bangkok to London. Seating and interior old with a very small IFE screen. I did not like the meals. Had a short connection and i was rebooked from another partner. Upon arrival in LHR others for the same connecting flight were awaited but not me. I was told there would be service agents in purple everywhere but I found none. The fast track security was non existant. Total experience was bad.,October 2018,2.0,1.0,3.0,13.0,no,Bangkok to London,3.0,Economy Class,Business,2.0,0.0
34,Boeing 777,3.0,"✅ Trip Verified |  London to Toronto. 14 day trip to play golf with my Father, and BA lost my clubs for 7 days. Dealing with BA lost luggage/customer service was brutal, they had no idea where my clubs were or how long it would take to retrieve them. I had packed all my clothes with my clubs. First days of trip were to buy clothes and essentials. Flight home from LHR-YYZ was an old 777 with a misplaced seat cushion, and a broken seat that wouldn't stay upright. The IFE system badly needs upgrading, and no power ports at the seats - grueling 7.5hr flight. As bad as I thought Air Canada was they are light years ahead of BA. ",October 2018,3.0,2.0,2.0,12.0,no,London to Toronto,1.0,Economy Class,Solo Leisure,1.0,0.0
35,A320,3.0,"✅ Trip Verified |  London to Vienna. I was shocked that BA provides buy onboard short haul flights - no free water, coffee or tea. I tried to buy something but my Credit Card wouldn't work, and I could not pay with cash.",October 2018,0.0,2.0,0.0,9.0,no,London to Vienna,2.0,Economy Class,Business,2.0,0.0
36,A380,2.0,"✅ Trip Verified |  Johannesburg to London. I tend to stay with an airline as a frequent flyer and I fly business class. I have seen a change for the worst in BA service, and it does not seem to get any better. Bedding finally a decent pillow, a very good one indeed. The rest is a waste of money unless a new announced Club World seat is introduced where all this will fit perfectly.  Seated in a window seat makes it  impossible to make up a bed properly with them new things. I don't expect top food in a plane but I expect service. If you announce things, make sure you have them. On some flights Champagne is not being served when you have taken your seat. Premium economy however gets a sparkling wine.  You must eat when they order you to eat. They seem to have run out of certain items such as a gin other than Gordon's. You have to decide upon breakfast before you even had dinner. Entertainment, make sure you bring your tablet with downloaded things to view. BA offers you the most limited offer.",October 2018,1.0,4.0,1.0,12.0,no,Johannesburg to London,2.0,Business Class,Business,2.0,0.0
37,Boeing 777-300ER,5.0,"✅ Trip Verified |  Singapore to London Heathrow. It's my first time traveling on British Airways. The seat arrangement in its long-haul business class is very uncommon that half of the seats are facing backward. So you are face-to-face with the one sitting opposite you (at least during taking off and landing when the divider is lowered down). There are 8 Club World seats per row for 777-300ER, which is relatively narrower if comparing with other carriers serving this route. The cabin service was as good as expected. However, I saw only chocolate bars and sweets for the minibar during night. There could be some other choices.",September 2018,3.0,3.0,2.0,20.0,yes,Singapore to London Heathrow,4.0,Business Class,Solo Leisure,3.0,0.0
38,Boeing 747-400,1.0,"✅ Trip Verified |  London to Los Angeles. Booked this trip eight months previously and as I lost my status on BA a few years ago were forced to pay an additional £180 for our two seats. The flight I chose was a Boeing 787 and was prepared to part with the extra cash so we could be in the small front cabin. Never expecting anything to go according to plan with BA and our flight was cancelled a few days before. We were rebooked onto a later flight which they changed from an A380 to a twenty one year old Jumbo. We were then seated right at the back of Club World to benefit from a screaming child sat in the front row of premium. We were greeted by a rather pleasant steward who told us he would be looking after us for the trip, he then disappeared never to be seen again. Food was served within an hour of take off for an eleven hour flight. The steak so tough was it impossible to cut and could only be eaten by picking up and biting pieces off. After a few hours I went  to the galley to seek out a drink as the crew had disappeared, stood there being completely ignored by three stewardesses. Reluctantly one stopped chattering and managed to get me a drink. The second meal was served about seven hours after lunch, steak sandwich, at least that one was edible. The seat was as you would expect on such an old plane totally knackered, getting out was a task in itself. I bought WiFi for the whole trip, it ran for about 50% of the flight, yet their customer (non existent) services refuse to refund the payment even though I sent them a whole host of screenshots showing at various times there was no wifi service, but they are happy to note the problems. We have avoided BA now for some time, except where there is no other option as on Club Europe. But with transatlantic they are probably the bottom of the pile. We only took this trip to use up some Avios, they have all been used now and we could come back from LAX on Virgin Atlantic. Never again, BA club world offered is a farce in today's business market.",August 2018,1.0,3.0,1.0,11.0,no,London to Los Angeles,1.0,Business Class,Couple Leisure,3.0,1.0
39,Boeing 747,5.0,"✅ Trip Verified |  Miami to London Heathrow. As with many others whom have posted reviews on this site my issue is with BA's customer service when dealing with an issue that has arisen from flying on this once proud airline. My issue was with faulty equipment onboard. Issue with my seat that the onboard team tried to the best of their ability to sort but unable to through no lack of effort and have nothing but praise for these guys working with aging equipment and keep on trying to do their best to keep the customer happy. Had to move seat and as first, club and premium economy all full, had to move back to economy. Asked customer services to refund me the fare difference for this part of the journey and after several cut and past generic replies on their part and fed up hitting my head off a brick wall have given up as life is too short to fight profits over customer satisfaction organisation. Following a favourable review of my outward journey it is clear BA lacks consistency and don't wish to deal with issue when something goes wrong. As i said in both my reviews nothing but praise for the onboard crews dealing with these issues and trying to make it a great experiance but think BA now need to work on their problem solving skills. I now have 91000 Avios going to waste as my business will be going else where.",September 2018,3.0,1.0,2.0,14.0,no,Miami to London Heathrow,1.0,Premium Economy,Solo Leisure,2.0,0.0
40,,1.0,"Not Verified | London Heathrow to Milan Malpensa. Worst airline I’ve ever dealt with. I fly 100+ times a year. British Airways lost my and my wife’s luggage on our vacation. They have been unbelievably rude and unhelpful in resolving this issue. They have ruined our vacation and refuse to help us. Please, never book this airline.",October 2018,1.0,1.0,1.0,7.0,no,London Heathrow to Milan Malpensa,1.0,Business Class,Couple Leisure,1.0,1.0
41,,1.0,"Not Verified |  Calgary to Rome via London. My wife and I booked our 10th anniversary trip from Calgary to Rome return, with British Airways, Sept 17-27. This was my first trip in Europe, and we spent almost $8500 CAD on first class tickets. The flight Calgary to London (stopover) was ok. I got a bottle of water, and then nobody came to the pod I was in for the next 8 hours. One would have expected more from first class, maybe another bottle of water? They asked me to fill out what I would like for breakfast on a card. I filled it out but no breakfast or even coffee came. The vacation itself was great. On the day of the return flight, our Trenitalia train broke down in Naples, and we were 80 mins late. My wife tried dozens of times to phone British Airways but none of their phone numbers posted on the website were working; most of the calls were just dropped and some were out of service. We tried the numbers from our tickets, their website, their help desk, Facebook page, Google etc. We tried at least 5 different phone numbers a half dozen times each over the 90 mins, and could not get through. My wife managed to check herself in online, but could not check me in. There was a glitch on the computer saying they needed my passport to check in, once my wife pressed my name, the passport information was already on the form and said form is complete. It was a computer glitch we couldn't get around.  Ultimately we arrived at the Rome airport 5 mins too late for me to check in. My wife was ok and could go through but I could not. We asked the 3 ladies at the British Airways desk for help, and they shrugged and said they couldn't help us. Apparently, they said it would have been different if we called before, and we showed them her phone (see the attached photos) with all the calls we made. They then told us it was a ticket kiosk only and they couldn't reschedule us. They gave us another number to call My wife at this point was near tears. I am visually impaired and had eye surgery just 2 weeks prior, so I was not allowed to carry over 5 lbs. She was managing all the luggage, the ticketing etc and after 10 hours of delays she was very stressed. The attitude of these ladies certainly did not help in any way. The new secret customer service phone number we were given did work, and my wife was on the phone with Customer Service for over an hour. After reviewing the details with several teams of specialists, we were told basically that they didn't believe us that we tried to call, they were not interested in us sending screenshots of us trying to call. Nothing could be done for us, and they could only rebook us for $8800. No apologies whatsoever were given, nor the slightest help or accommodation for us being stranded in Rome. We eventually made it home on different airlines but I have lost all respect and trust for British Airways. Like any corporation they are only interested in taking your money while making minimal effort to customer support.",September 2018,1.0,1.0,0.0,8.0,no,Calgary to Rome via London,4.0,First Class,Couple Leisure,1.0,0.0
